resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
24360,1017,848,5,23,11,15,15,15,0.0,52,\N,\N,51,12,1:35.029,221.313,11
24362,1017,825,210,20,15,17,17,17,0.0,52,\N,\N,50,18,1:35.692,219.780,11
24364,1017,847,3,63,20,19,19,19,0.0,51,\N,\N,51,19,1:35.830,219.463,12
24366,1018,830,9,33,2,1,1,1,26.0,71,1:22:01.822,4921822,60,1,1:07.475,230.378,1
24367,1018,844,6,16,1,2,2,2,18.0,71,+2.724,4924546,58,3,1:07.994,228.620,1
24368,1018,822,131,77,3,3,3,3,15.0,71,+18.960,4940782,53,7,1:08.565,226.716,1
24370,1018,1,131,44,4,5,5,5,10.0,71,+22.805,4944627,69,5,1:08.050,228.432,1
24371,1018,846,1,4,5,6,6,6,8.0,70,\N,\N,69,8,1:08.699,226.274,11
24372,1018,842,9,10,8,7,7,7,6.0,70,\N,\N,63,9,1:08.790,225.974,11
24373,1018,832,1,55,19,8,8,8,4.0,70,\N,\N,53,6,1:08.117,228.207,11
24376,1018,815,211,11,13,11,11,11,0.0,70,\N,\N,67,14,1:09.061,225.087,11
24377,1018,817,4,3,12,12,12,12,0.0,70,\N,\N,65,4,1:08.019,228.536,11
24378,1018,807,4,27,15,13,13,13,0.0,70,\N,\N,59,16,1:09.248,224.480,11
24379,1018,840,211,18,14,14,14,14,0.0,70,\N,\N,57,17,1:09.288,224.350,11
24380,1018,848,5,23,18,15,15,15,0.0,70,\N,\N,59,11,1:08.946,225.463,11
24383,1018,847,3,63,0,18,18,18,0.0,69,\N,\N,52,19,1:09.926,222.303,12
24384,1018,825,210,20,10,19,19,19,0.0,69,\N,\N,69,10,1:08.903,225.604,12
24386,1019,1,131,44,2,1,1,1,26.0,52,1:21:08.452,4868452,52,1,1:27.369,242.735,1
24387,1019,822,131,77,1,2,2,2,18.0,52,+24.928,4893380,47,2,1:27.406,242.633,1
24388,1019,844,6,16,3,3,3,3,15.0,52,+30.117,4898569,47,5,1:29.313,237.452,1
24389,1019,842,9,10,5,4,4,4,12.0,52,+34.692,4903144,48,8,1:29.544,236.839,1
24390,1019,830,9,33,4,5,5,5,10.0,52,+39.458,4907910,45,4,1:29.272,237.561,1
24391,1019,832,1,55,13,6,6,6,8.0,52,+53.639,4922091,50,11,1:29.757,236.277,1
24392,1019,817,4,3,7,7,7,7,6.0,52,+54.401,4922853,50,9,1:29.624,236.628,1
24395,1019,807,4,27,10,10,10,10,1.0,52,+1:12.733,4941185,51,13,1:29.949,235.773,1
24396,1019,846,1,4,8,11,11,11,0.0,52,+1:14.281,4942733,50,10,1:29.636,236.596,1
24397,1019,848,5,23,9,12,12,12,0.0,52,+1:15.617,4944069,46,15,1:30.872,233.378,1
24398,1019,840,211,18,18,13,13,13,0.0,52,+1:21.086,4949538,49,6,1:29.390,237.248,1
24399,1019,847,3,63,19,14,14,14,0.0,51,\N,\N,50,16,1:31.013,233.017,11
24402,1019,815,211,11,15,17,17,17,0.0,51,\N,\N,50,7,1:29.456,237.072,11
24405,1019,825,210,20,16,\N,R,20,0.0,6,\N,\N,5,19,1:33.425,227.001,4
24406,1020,830,9,33,2,1,1,1,26.0,64,1:44:31.275,6271275,61,1,1:16.645,214.839,1
24409,1020,840,211,18,15,4,4,4,12.0,64,+8.966,6280241,61,8,1:17.831,211.566,1
24410,1020,832,1,55,7,5,5,5,10.0,64,+9.583,6280858,63,9,1:17.841,211.538,1
24411,1020,848,5,23,16,6,6,6,8.0,64,+10.052,6281327,63,10,1:17.850,211.514,1
24413,1020,825,210,20,12,8,8,8,4.0,64,+18.765,6290040,62,5,1:17.507,212.450,1
24414,1020,1,131,44,1,9,9,9,2.0,64,+19.667,6290942,64,12,1:18.811,208.935,1
24416,1020,847,3,63,17,11,11,11,0.0,64,+26.404,6297679,60,3,1:17.485,212.510,1
24419,1020,842,9,10,4,14,14,14,0.0,61,\N,\N,56,4,1:17.495,212.483,4
24420,1020,822,131,77,3,\N,R,15,0.0,56,\N,\N,54,11,1:18.272,210.374,3
24421,1020,807,4,27,9,\N,R,16,0.0,39,\N,\N,18,17,1:29.576,183.826,3
24422,1020,844,6,16,10,\N,R,17,0.0,27,\N,\N,17,16,1:27.697,187.764,3
24423,1020,846,1,4,19,\N,R,18,0.0,25,\N,\N,16,18,1:31.081,180.788,75
24424,1020,817,4,3,13,\N,R,19,0.0,13,\N,\N,10,19,1:32.654,177.719,43
24425,1020,815,211,11,8,\N,R,20,0.0,1,\N,\N,\N,0,\N,\N,20
24426,1021,1,131,44,3,1,1,1,25.0,70,1:35:03.796,5703796,60,2,1:18.528,200.840,1
24427,1021,830,9,33,1,2,2,2,19.0,70,+17.796,5721592,69,1,1:17.103,204.552,1
24429,1021,844,6,16,4,4,4,4,12.0,70,+1:05.250,5769046,49,5,1:20.493,195.937,1
24430,1021,832,1,55,8,5,5,5,10.0,69,\N,\N,66,10,1:21.002,194.706,11
24431,1021,842,9,10,6,6,6,6,8.0,69,\N,\N,65,12,1:21.045,194.602,11
24433,1021,822,131,77,2,8,8,8,4.0,69,\N,\N,59,3,1:19.331,198.807,11
24434,1021,846,1,4,7,9,9,9,2.0,69,\N,\N,65,13,1:21.188,194.260,11
24435,1021,848,5,23,12,10,10,10,1.0,69,\N,\N,65,7,1:20.621,195.626,11
24436,1021,815,211,11,16,11,11,11,0.0,69,\N,\N,47,15,1:21.734,192.962,11
24437,1021,807,4,27,11,12,12,12,0.0,69,\N,\N,59,14,1:21.650,193.161,11
24438,1021,825,210,20,14,13,13,13,0.0,69,\N,\N,67,11,1:21.008,194.691,11
24439,1021,817,4,3,20,14,14,14,0.0,69,\N,\N,49,8,1:20.839,195.098,11
24441,1021,847,3,63,15,16,16,16,0.0,68,\N,\N,66,17,1:22.386,191.435,12
24442,1021,840,211,18,18,17,17,17,0.0,68,\N,\N,52,6,1:20.603,195.670,12
24446,1022,844,6,16,1,1,1,1,25.0,44,1:23:45.710,5025710,23,4,1:46.664,236.390,1
24447,1022,1,131,44,3,2,2,2,18.0,44,+0.981,5026691,24,3,1:46.580,236.577,1
24448,1022,822,131,77,4,3,3,3,15.0,44,+12.585,5038295,27,2,1:46.465,236.832,1
24450,1022,848,9,23,17,5,5,5,10.0,44,+1:21.325,5107035,41,5,1:47.507,234.537,1
24451,1022,815,211,11,7,6,6,6,8.0,44,+1:24.448,5110158,29,13,1:48.781,231.790,1
24453,1022,807,4,27,12,8,8,8,4.0,44,+1:46.639,5132349,34,9,1:48.349,232.714,1
24454,1022,842,5,10,13,9,9,9,2.0,44,+1:49.168,5134878,21,17,1:49.700,229.848,1
24455,1022,840,211,18,16,10,10,10,1.0,44,+1:49.838,5135548,34,10,1:48.357,232.697,1
24456,1022,846,1,4,11,11,11,11,0.0,43,\N,\N,21,8,1:48.321,232.774,5
24457,1022,825,210,20,8,12,12,12,0.0,43,\N,\N,33,11,1:48.677,232.012,11
24459,1022,817,4,3,10,14,14,14,0.0,43,\N,\N,21,18,1:50.451,228.285,11
24460,1022,847,3,63,14,15,15,15,0.0,43,\N,\N,34,14,1:48.860,231.622,11
24464,1022,832,1,55,15,\N,R,19,0.0,1,\N,\N,\N,0,\N,\N,75
24465,1022,830,9,33,5,\N,R,20,0.0,0,\N,\N,\N,0,\N,\N,3
24466,1023,844,6,16,1,1,1,1,25.0,53,1:15:26.665,4526665,47,4,1:23.009,251.235,1
24467,1023,822,131,77,3,2,2,2,18.0,53,+0.835,4527500,47,3,1:22.859,251.690,1
24468,1023,1,131,44,2,3,3,3,16.0,53,+35.199,4561864,51,1,1:21.779,255.014,1
24469,1023,817,4,3,5,4,4,4,12.0,53,+45.515,4572180,53,7,1:23.466,249.859,1
24470,1023,807,4,27,6,5,5,5,10.0,53,+58.165,4584830,53,8,1:23.641,249.337,1
24471,1023,848,9,23,8,6,6,6,8.0,53,+59.315,4585980,45,6,1:23.364,250.165,1
24472,1023,815,211,11,18,7,7,7,6.0,53,+1:13.802,4600467,35,9,1:23.770,248.953,1
24473,1023,830,9,33,19,8,8,8,4.0,53,+1:14.492,4601157,41,5,1:23.143,250.830,1
24475,1023,846,1,4,16,10,10,10,1.0,52,\N,\N,52,11,1:24.044,248.141,11
24476,1023,842,5,10,17,11,11,11,0.0,52,\N,\N,51,10,1:23.885,248.611,11
24477,1023,840,211,18,9,12,12,12,0.0,52,\N,\N,31,12,1:24.165,247.784,11
24479,1023,847,3,63,14,14,14,14,0.0,52,\N,\N,51,16,1:24.842,245.807,11
24483,1023,825,210,20,11,\N,R,18,0.0,43,\N,\N,38,14,1:24.443,246.968,9
24485,1023,832,1,55,7,\N,R,20,0.0,27,\N,\N,10,19,1:25.637,243.525,36
24487,1024,844,6,16,1,2,2,2,18.0,61,+2.641,7116308,59,4,1:44.723,174.047,1
24488,1024,830,9,33,4,3,3,3,15.0,61,+3.821,7117488,56,8,1:45.176,173.298,1
24489,1024,1,131,44,2,4,4,4,12.0,61,+4.608,7118275,58,7,1:44.914,173.730,1
24490,1024,822,131,77,5,5,5,5,10.0,61,+6.119,7119786,58,2,1:43.534,176.046,1
24491,1024,848,9,23,6,6,6,6,8.0,61,+11.663,7125330,59,9,1:45.260,173.159,1
24492,1024,846,1,4,9,7,7,7,6.0,61,+14.769,7128436,58,11,1:45.716,172.412,1
24493,1024,842,5,10,11,8,8,8,4.0,61,+15.547,7129214,58,13,1:45.769,172.326,1
24494,1024,807,4,27,8,9,9,9,2.0,61,+16.718,7130385,59,12,1:45.765,172.333,1
24497,1024,832,1,55,7,12,12,12,0.0,61,+35.974,7149641,41,15,1:45.969,172.001,1
24498,1024,840,211,18,16,13,13,13,0.0,61,+36.419,7150086,57,6,1:44.896,173.760,1
24499,1024,817,4,3,20,14,14,14,0.0,61,+37.660,7151327,55,14,1:45.915,172.088,1
24502,1024,825,210,20,13,17,17,17,0.0,61,+1:26.522,7200189,58,1,1:42.301,178.168,1
24504,1024,815,211,11,15,\N,R,19,0.0,42,\N,\N,15,17,1:46.683,170.850,5
24505,1024,847,3,63,18,\N,R,20,0.0,34,\N,\N,29,20,1:48.285,168.322,4
24506,1025,1,131,44,2,1,1,1,26.0,53,1:33:38.992,5618992,51,1,1:35.761,219.847,1
24507,1025,822,131,77,4,2,2,2,18.0,53,+3.829,5622821,50,3,1:36.316,218.580,1
24508,1025,844,6,16,1,3,3,3,15.0,53,+5.212,5624204,52,2,1:36.193,218.860,1
24509,1025,830,9,33,9,4,4,4,12.0,53,+14.210,5633202,47,5,1:36.937,217.180,1
24510,1025,848,9,23,0,5,5,5,10.0,53,+38.348,5657340,50,4,1:36.762,217.573,1
24511,1025,832,1,55,5,6,6,6,8.0,53,+45.889,5664881,53,6,1:38.020,214.780,1
24512,1025,815,211,11,11,7,7,7,6.0,53,+48.728,5667720,49,7,1:38.043,214.730,1
24513,1025,846,1,4,7,8,8,8,4.0,53,+57.749,5676741,52,11,1:38.301,214.166,1
24514,1025,825,210,20,13,9,9,9,2.0,53,+58.779,5677771,53,8,1:38.130,214.539,1
24515,1025,807,4,27,6,10,10,10,1.0,53,+59.841,5678833,53,12,1:38.519,213.692,1
24516,1025,840,211,18,14,11,11,11,0.0,53,+1:00.821,5679813,53,15,1:38.611,213.493,1
24519,1025,842,5,10,16,14,14,14,0.0,53,+1:10.076,5689068,51,14,1:38.606,213.504,1
24522,1025,847,3,63,17,\N,R,17,0.0,27,\N,\N,18,18,1:41.705,206.998,23
24524,1025,817,4,3,10,\N,R,19,0.0,24,\N,\N,22,17,1:41.284,207.859,4
24526,1026,822,131,77,3,1,1,1,25.0,52,1:21:46.755,4906755,49,4,1:31.862,227.571,1
24528,1026,1,131,44,4,3,3,3,16.0,52,+13.858,4920613,45,1,1:30.983,229.770,1
24529,1026,848,9,23,6,4,4,4,12.0,52,+59.537,4966292,36,8,1:32.775,225.332,1
24530,1026,832,1,55,7,5,5,5,10.0,52,+1:09.101,4975856,46,12,1:33.563,223.434,1
24531,1026,844,6,16,2,6,6,6,8.0,51,\N,\N,48,2,1:31.611,228.195,11
24532,1026,842,5,10,9,7,7,7,6.0,51,\N,\N,43,17,1:35.321,219.313,11
24533,1026,815,211,11,17,8,8,8,4.0,51,\N,\N,46,7,1:32.621,225.706,11
24534,1026,840,211,18,12,9,9,9,2.0,51,\N,\N,26,14,1:34.713,220.721,11
24536,1026,846,1,4,8,11,11,11,0.0,51,\N,\N,31,13,1:34.116,222.121,11
24540,1026,825,210,20,19,15,15,15,0.0,51,\N,\N,49,3,1:31.732,227.894,11
24541,1026,847,3,63,18,16,16,16,0.0,50,\N,\N,27,18,1:35.458,218.998,12
24543,1026,830,9,33,5,\N,R,18,0.0,14,\N,\N,10,20,1:37.249,214.965,23
24544,1026,817,4,3,16,\N,D,19,0.0,51,\N,\N,48,11,1:33.481,223.630,2
24545,1026,807,4,27,15,\N,D,20,0.0,51,\N,\N,47,15,1:34.921,220.237,2
24546,1027,1,131,44,3,1,1,1,25.0,71,1:36:48.904,5808904,66,4,1:19.461,194.993,1
24548,1027,822,131,77,6,3,3,3,15.0,71,+3.553,5812457,66,5,1:19.494,194.912,1
24549,1027,844,6,16,1,4,4,4,13.0,71,+6.368,5815272,53,1,1:19.232,195.557,1
24550,1027,848,9,23,5,5,5,5,10.0,71,+21.399,5830303,48,2,1:19.325,195.328,1
24551,1027,830,9,33,4,6,6,6,8.0,71,+1:08.807,5877711,65,11,1:20.406,192.702,1
24552,1027,815,211,11,11,7,7,7,6.0,71,+1:13.819,5882723,70,12,1:20.485,192.512,1
24553,1027,817,4,3,13,8,8,8,4.0,71,+1:14.924,5883828,53,9,1:20.146,193.327,1
24554,1027,842,5,10,10,9,9,9,2.0,70,\N,\N,53,6,1:19.530,194.824,11
24555,1027,807,4,27,12,10,10,10,1.0,70,\N,\N,59,14,1:20.791,191.783,11
24557,1027,840,211,18,16,12,12,12,0.0,70,\N,\N,68,15,1:20.922,191.473,11
24558,1027,832,1,55,7,13,13,13,0.0,70,\N,\N,66,10,1:20.311,192.929,11
24560,1027,825,210,20,17,15,15,15,0.0,69,\N,\N,53,20,1:21.682,189.691,12
24561,1027,847,3,63,19,16,16,16,0.0,69,\N,\N,69,17,1:21.286,190.615,12
24565,1027,846,1,4,8,\N,R,20,0.0,48,\N,\N,46,19,1:21.643,189.782,54
24626,1031,822,131,77,1,1,1,1,25.0,71,1:30:55.739,5455739,68,2,1:07.657,229.758,1
24566,1028,822,131,77,1,1,1,1,25.0,56,1:33:55.653,5635653,37,2,1:36.957,204.696,1
24567,1028,1,131,44,5,2,2,2,18.0,56,+4.148,5639801,26,7,1:38.446,201.600,1
24568,1028,830,9,33,3,3,3,3,15.0,56,+5.002,5640655,42,5,1:38.214,202.077,1
24569,1028,844,6,16,4,4,4,4,13.0,56,+52.239,5687892,44,1,1:36.169,206.374,1
24570,1028,848,9,23,6,5,5,5,10.0,56,+1:18.038,5713691,42,3,1:38.029,202.458,1
24571,1028,817,4,3,9,6,6,6,8.0,56,+1:30.366,5726019,28,14,1:40.564,197.354,1
24572,1028,846,1,4,8,7,7,7,6.0,56,+1:30.764,5726417,44,4,1:38.074,202.365,1
24573,1028,832,1,55,7,8,8,8,4.0,55,\N,\N,44,15,1:40.844,196.806,11
24574,1028,807,4,27,11,9,9,9,2.0,55,\N,\N,47,6,1:38.437,201.619,11
24575,1028,815,211,11,0,10,10,10,1.0,55,\N,\N,34,11,1:40.165,198.141,11
24578,1028,840,211,18,14,13,13,13,0.0,55,\N,\N,42,13,1:40.380,197.716,11
24581,1028,842,5,10,10,16,16,16,0.0,54,\N,\N,31,16,1:40.850,196.795,22
24582,1028,847,3,63,18,17,17,17,0.0,54,\N,\N,54,17,1:41.239,196.039,12
24583,1028,825,210,20,12,18,18,18,0.0,52,\N,\N,42,12,1:40.347,197.781,23
24586,1029,830,9,33,1,1,1,1,25.0,71,1:33:14.678,5594678,61,2,1:10.862,218.909,1
24587,1029,842,5,10,6,2,2,2,18.0,71,+6.077,5600755,65,9,1:12.425,214.185,1
24588,1029,832,1,55,20,3,3,3,15.0,71,+8.896,5603574,63,16,1:13.158,212.039,1
24591,1029,817,4,3,11,6,6,6,8.0,71,+10.541,5605219,44,11,1:12.733,213.278,1
24592,1029,1,131,44,3,7,7,7,6.0,71,+11.139,5605817,46,3,1:11.082,218.232,1
24593,1029,846,1,4,10,8,8,8,4.0,71,+11.204,5605882,63,7,1:12.328,214.472,1
24594,1029,815,211,11,15,9,9,9,2.0,71,+11.529,5606207,64,12,1:12.840,212.965,1
